IMIĘ PIERWSZE,PŁEĆ,LICZBA WYSTĄPIENIEŃ
ZOFIA,KOBIETA,5714
ZUZANNA,KOBIETA,5558
HANNA,KOBIETA,5261
LAURA,KOBIETA,5095
MAJA,KOBIETA,4979
JULIA,KOBIETA,4936
OLIWIA,KOBIETA,4440
ALICJA,KOBIETA,4261
POLA,KOBIETA,4087
LENA,KOBIETA,3811
MARIA,KOBIETA,3732
EMILIA,KOBIETA,3188
AMELIA,KOBIETA,3143
ANTONINA,KOBIETA,3133
WIKTORIA,KOBIETA,3037
LILIANA,KOBIETA,2860
IGA,KOBIETA,2847
MICHALINA,KOBIETA,2749
MARCELINA,KOBIETA,2720
HELENA,KOBIETA,2680
KLARA,KOBIETA,2523
ALEKSANDRA,KOBIETA,2370
GABRIELA,KOBIETA,2220
ANNA,KOBIETA,1965
KORNELIA,KOBIETA,1927
ŁUCJA,KOBIETA,1862
BLANKA,KOBIETA,1853
NELA,KOBIETA,1840
NADIA,KOBIETA,1792
NATALIA,KOBIETA,1734
JAGODA,KOBIETA,1554
LILIANNA,KOBIETA,1472
MILENA,KOBIETA,1467
ANASTAZJA,KOBIETA,1297
MIA,KOBIETA,1217
KAJA,KOBIETA,1213
NIKOLA,KOBIETA,1109
NINA,KOBIETA,1102
WERONIKA,KOBIETA,1081
RÓŻA,KOBIETA,1074
ROZALIA,KOBIETA,1072
ANIELA,KOBIETA,1039
SARA,KOBIETA,998
BARBARA,KOBIETA,993
MATYLDA,KOBIETA,968
KAROLINA,KOBIETA,887
MARTYNA,KOBIETA,840
LIWIA,KOBIETA,821
AGATA,KOBIETA,811
ELIZA,KOBIETA,756
MAGDALENA,KOBIETA,723
ADRIANNA,KOBIETA,687
AURELIA,KOBIETA,678
KINGA,KOBIETA,668
GAJA,KOBIETA,640
WANDA,KOBIETA,594
MARIANNA,KOBIETA,571
KALINA,KOBIETA,535
IZABELA,KOBIETA,520
BIANKA,KOBIETA,507
DIANA,KOBIETA,499
MELANIA,KOBIETA,495
JOANNA,KOBIETA,492
MAŁGORZATA,KOBIETA,470
LIDIA,KOBIETA,467
EWA,KOBIETA,459
ZOJA,KOBIETA,457
PAULINA,KOBIETA,437
DOMINIKA,KOBIETA,437
URSZULA,KOBIETA,421
KATARZYNA,KOBIETA,412
APOLONIA,KOBIETA,406
SOFIA,KOBIETA,404
MARTA,KOBIETA,400
IDA,KOBIETA,374
MILANA,KOBIETA,364
MALWINA,KOBIETA,347
NEL,KOBIETA,345
DARIA,KOBIETA,340
JAGNA,KOBIETA,327
PATRYCJA,KOBIETA,325
KLAUDIA,KOBIETA,307
STEFANIA,KOBIETA,298
OLIVIA,KOBIETA,297
OLGA,KOBIETA,287
ELENA,KOBIETA,277
LUIZA,KOBIETA,272
EMMA,KOBIETA,268
RITA,KOBIETA,268
JAŚMINA,KOBIETA,260
KAMILA,KOBIETA,253
LEA,KOBIETA,249
LILIA,KOBIETA,248
LARA,KOBIETA,244
SOFIIA,KOBIETA,237
DOROTA,KOBIETA,236
JADWIGA,KOBIETA,224
ADA,KOBIETA,223
ALINA,KOBIETA,219
MARIKA,KOBIETA,211
FELICJA,KOBIETA,208
ZLATA,KOBIETA,208
ADELA,KOBIETA,205
POLINA,KOBIETA,202
LILA,KOBIETA,188
ALISA,KOBIETA,186
EVA,KOBIETA,172
TOLA,KOBIETA,166
JANINA,KOBIETA,164
KIRA,KOBIETA,163
CELINA,KOBIETA,161
SANDRA,KOBIETA,153
INGA,KOBIETA,153
MONIKA,KOBIETA,148
VICTORIA,KOBIETA,148
ADELINA,KOBIETA,144
MARIIA,KOBIETA,143
VERONIKA,KOBIETA,141
AGNIESZKA,KOBIETA,141
ELŻBIETA,KOBIETA,138
MILA,KOBIETA,137
KARINA,KOBIETA,130
FRANCISZKA,KOBIETA,127
ARINA,KOBIETA,124
EWELINA,KOBIETA,122
JUSTYNA,KOBIETA,119
NOEMI,KOBIETA,117
DAGMARA,KOBIETA,114
GLORIA,KOBIETA,113
EMILIIA,KOBIETA,112
SONIA,KOBIETA,111
MARLENA,KOBIETA,107
ROKSANA,KOBIETA,105
ESTERA,KOBIETA,102
VIKTORIIA,KOBIETA,102
KRYSTYNA,KOBIETA,102
AURORA,KOBIETA,101
KONSTANCJA,KOBIETA,101
LIVIA,KOBIETA,98
FLORENTYNA,KOBIETA,97
VARVARA,KOBIETA,96
NIKOL,KOBIETA,96
MAYA,KOBIETA,94
TERESA,KOBIETA,94
VANESSA,KOBIETA,93
OLEKSANDRA,KOBIETA,93
SOLOMIIA,KOBIETA,92
ANITA,KOBIETA,89
YEVA,KOBIETA,86
VIKTORIA,KOBIETA,84
ANASTASIIA,KOBIETA,83
MIRA,KOBIETA,82
MELISA,KOBIETA,79
LUNA,KOBIETA,78
NICOLE,KOBIETA,77
ANGELINA,KOBIETA,75
JUDYTA,KOBIETA,75
JOWITA,KOBIETA,74
LUCYNA,KOBIETA,74
INKA,KOBIETA,74
JULITA,KOBIETA,73
FAUSTYNA,KOBIETA,73
OTYLIA,KOBIETA,73
IRENA,KOBIETA,72
JULIANNA,KOBIETA,71
EVELINA,KOBIETA,70
ANASTASIA,KOBIETA,70
IZABELLA,KOBIETA,69
JÓZEFINA,KOBIETA,66
ARIANA,KOBIETA,65
KLEMENTYNA,KOBIETA,64
DALIA,KOBIETA,63
KATERYNA,KOBIETA,63
AMANDA,KOBIETA,62
OKTAWIA,KOBIETA,61
ANTONIA,KOBIETA,60
SABINA,KOBIETA,59
EMILY,KOBIETA,59
SOPHIA,KOBIETA,57
MYROSLAVA,KOBIETA,56
DANUTA,KOBIETA,56
INES,KOBIETA,56
NAOMI,KOBIETA,55
STELLA,KOBIETA,54
INEZ,KOBIETA,53
MALINA,KOBIETA,52
NATASZA,KOBIETA,51
PAULA,KOBIETA,51
LILY,KOBIETA,50
VALERIIA,KOBIETA,49
YELYZAVETA,KOBIETA,49
NICOLA,KOBIETA,49
IDALIA,KOBIETA,49
ADRIANA,KOBIETA,48
JANA,KOBIETA,48
SOPHIE,KOBIETA,48
ANETA,KOBIETA,48
ROMA,KOBIETA,47
AMINA,KOBIETA,47
MARIETTA,KOBIETA,46
HONORATA,KOBIETA,46
MIIA,KOBIETA,46
CECYLIA,KOBIETA,46
OLA,KOBIETA,45
MIRIAM,KOBIETA,44
ZOE,KOBIETA,44
WALERIA,KOBIETA,43
DARYNA,KOBIETA,43
LETYCJA,KOBIETA,42
YANA,KOBIETA,42
NASTIA,KOBIETA,41
MAGDA,KOBIETA,40
ULIANA,KOBIETA,40
CARMEN,KOBIETA,40
SYLWIA,KOBIETA,39
LILLY,KOBIETA,39
OLIMPIA,KOBIETA,39
LILI,KOBIETA,38
TAMARA,KOBIETA,38
ANHELINA,KOBIETA,38
SOFIJA,KOBIETA,37
ELINA,KOBIETA,36
NIKA,KOBIETA,35
OLIVIIA,KOBIETA,34
LARYSA,KOBIETA,34
NADZIEJA,KOBIETA,33
KSENIA,KOBIETA,33
ALEXANDRA,KOBIETA,33
STEFANIIA,KOBIETA,33
NELIA,KOBIETA,33
HALINA,KOBIETA,32
MIROSLAVA,KOBIETA,31
VALERIA,KOBIETA,31
MELISSA,KOBIETA,31
DANIELA,KOBIETA,30
MARCJANNA,KOBIETA,30
GAIA,KOBIETA,30
VLADYSLAVA,KOBIETA,30
MICHELLE,KOBIETA,30
EDYTA,KOBIETA,29
ALICE,KOBIETA,29
MARGARITA,KOBIETA,29
LILLA,KOBIETA,29
BEATA,KOBIETA,29
HANA,KOBIETA,28
LAILA,KOBIETA,28
MARCELA,KOBIETA,27
SOLOMIA,KOBIETA,27
ANGELIKA,KOBIETA,27
BIANCA,KOBIETA,27
ELIZAVETA,KOBIETA,26
SOLOMIYA,KOBIETA,26
DOBRAWA,KOBIETA,26
ERIKA,KOBIETA,25
LEONIA,KOBIETA,25
ILONA,KOBIETA,25
ELIZABETH,KOBIETA,25
TATIANA,KOBIETA,24
ZOYA,KOBIETA,24
LIA,KOBIETA,24
SOFIYA,KOBIETA,24
SELENA,KOBIETA,24
ELEONORA,KOBIETA,23
ARIA,KOBIETA,23
MIYA,KOBIETA,23
GABRIELLA,KOBIETA,23
INA,KOBIETA,23
MIJA,KOBIETA,23
MARHARYTA,KOBIETA,22
WANESSA,KOBIETA,22
LEILA,KOBIETA,22
STANISŁAWA,KOBIETA,22
SAMANTA,KOBIETA,22
ANIKA,KOBIETA,21
HIACYNTA,KOBIETA,21
WIOLETTA,KOBIETA,21
LEOKADIA,KOBIETA,21
MELANIIA,KOBIETA,21
NELLY,KOBIETA,21
MARYLA,KOBIETA,21
FLORA,KOBIETA,20
ARIANNA,KOBIETA,20
CHARLOTTE,KOBIETA,20
SOLOMIJA,KOBIETA,20
HANNAH,KOBIETA,20
VERA,KOBIETA,20
BOGUMIŁA,KOBIETA,20
OLHA,KOBIETA,20
ANDŻELIKA,KOBIETA,20
AMELIIA,KOBIETA,20
YAROSLAVA,KOBIETA,20
REGINA,KOBIETA,20
VIOLETTA,KOBIETA,19
IVANNA,KOBIETA,19
MIROSŁAWA,KOBIETA,19
LIANA,KOBIETA,19
BOŻENA,KOBIETA,19
KSENIIA,KOBIETA,19
ABIGAIL,KOBIETA,18
ELLA,KOBIETA,18
VIRA,KOBIETA,18
NELL,KOBIETA,18
ULYANA,KOBIETA,18
VIVIENNE,KOBIETA,17
ADEL,KOBIETA,17
GRETA,KOBIETA,17
JASMINA,KOBIETA,17
IRYNA,KOBIETA,17
ELIANA,KOBIETA,17
JESSICA,KOBIETA,17
MARINA,KOBIETA,17
ISABELLA,KOBIETA,16
DARINA,KOBIETA,16
BOGDANA,KOBIETA,16
KHRYSTYNA,KOBIETA,16
JOLANTA,KOBIETA,16
EMILI,KOBIETA,16
ORIANA,KOBIETA,16
KAMILLA,KOBIETA,16
DARIIA,KOBIETA,16
NELLA,KOBIETA,16
IRMINA,KOBIETA,15
NADIIA,KOBIETA,15
